v,ta,td,sa,sd,E,P,¦Ç,¦µ,¦¤,k
0,4,94,0.33544463432016214,0.8897148469389488,77,3,0.95,A,0.009253246753246753,59.0
1,1,89,0.29894084680198757,0.8275140187848734,94,3,0.96,B,0.007659574468085106,69.0
2,8,87,0.387841301002622,0.9,71,5,0.96,C,0.016901408450704224,30.0
3,6,88,0.3264806633571021,0.8032799090751189,84,4,0.96,A,0.011428571428571429,41.0
4,4,91,0.36451726840516663,0.8556159183334345,79,6,0.99,B,0.01879746835443038,26.0
5,5,94,0.3982367636087618,0.8375443759357296,94,3,0.96,C,0.007659574468085106,57.0
6,8,91,0.2767565539113917,0.82565052809988,95,6,0.99,A,0.01563157894736842,35.0
7,6,91,0.3272740325974979,0.8731694491740413,89,6,0.99,B,0.016685393258426964,32.0
8,8,93,0.358003890614967,0.8673359814774129,87,6,0.98,C,0.01689655172413793,30.0
9,8,88,0.27840798672407585,0.8605443489872749,77,6,0.97,A,0.018896103896103897,30.0
10,2,92,0.3136063494896803,0.8567901738189249,83,6,0.98,B,0.017710843373493976,30.0
11,1,93,0.2947168730686218,0.8136167960814076,88,3,0.98,C,0.008352272727272727,62.0
12,1,89,0.3908737613769293,0.86464609422504,81,3,0.96,A,0.008888888888888889,53.0
13,9,94,0.3864827735676566,0.8300437637534996,70,5,0.98,B,0.0175,25.0
14,1,89,0.2504184956201131,0.8574040587238313,91,5,0.99,C,0.0135989010989011,44.0
15,1,88,0.29233665543179094,0.8058942903473254,76,6,0.98,A,0.019342105263157893,26.0
16,1,92,0.27387622216120333,0.8018110095810171,93,5,0.95,B,0.012768817204301076,41.0
17,7,93,0.39614408539594814,0.8267153830861118,75,4,0.96,C,0.012799999999999999,33.0
18,3,90,0.3447554181642109,0.848556413069191,93,3,0.99,A,0.007983870967741934,63.0
19,6,90,0.3991002658947041,0.8354163131798563,79,6,0.99,B,0.01879746835443038,23.0
20,5,86,0.3526448101129704,0.894090972121425,85,3,0.98,C,0.008647058823529412,62.0
21,5,93,0.38252223716697614,0.8208743998476263,86,4,0.98,A,0.011395348837209301,38.0
22,4,88,0.2684427773096249,0.8400006925330974,72,3,0.98,B,0.010208333333333333,55.0
23,4,90,0.2527425151122022,0.8692092917180609,84,5,0.95,C,0.014136904761904762,43.0
24,2,94,0.2650714164110087,0.8632967638733153,94,5,0.97,A,0.012898936170212765,46.0
25,2,95,0.35001684823444323,0.8627832054675595,71,6,0.98,B,0.020704225352112676,24.0
26,3,92,0.3954399081192505,0.8212099430877712,74,4,0.99,C,0.013378378378378379,31.0
27,6,90,0.3444860676229331,0.8677384271722247,88,5,0.97,A,0.01377840909090909,37.0
28,8,93,0.29283251623469786,0.8782208346635695,95,6,0.95,B,0.014999999999999998,39.0
29,7,94,0.35861462859656823,0.8,88,3,0.96,C,0.00818181818181818,53.0
