v,ta,td,sa,sd,E,P,¦Ç,¦µ,¦¤,k
0,3,93,0.34659824708034603,0.894452744310594,70,4,0.96,A,0.013714285714285714,39.0
1,3,93,0.25812353632070484,0.802649991306449,82,5,0.96,B,0.014634146341463414,37.0
2,4,95,0.38906869378380343,0.8211579763449174,84,6,0.95,C,0.016964285714285713,25.0
3,9,86,0.3626075951102565,0.8883441718315229,71,4,0.97,A,0.013661971830985916,38.0
4,6,94,0.3541779274234542,0.811337543616344,89,4,0.96,B,0.010786516853932584,42.0
5,2,86,0.34813226020137983,0.8289808352661947,81,4,1.0,C,0.012345679012345678,38.0
6,4,92,0.3494875052993741,0.8890986005355099,71,6,0.95,A,0.020070422535211265,26.0
7,5,95,0.3797208566440343,0.8656838423262466,89,4,0.95,B,0.010674157303370785,45.0
8,3,86,0.3204360091997807,0.8285241615878199,92,5,0.98,C,0.013315217391304349,38.0
9,3,94,0.32646314230664786,0.8875638882442791,74,4,0.95,A,0.012837837837837837,43.0
10,2,90,0.32361976710593787,0.8637294341227331,75,6,0.98,B,0.0196,27.0
11,2,95,0.3850798658560589,0.8900329975189128,79,5,0.95,C,0.015031645569620253,33.0
12,5,92,0.2918779773585691,0.8313031650255436,71,5,0.95,A,0.016725352112676055,32.0
13,1,87,0.2563457718251372,0.8901279676696707,73,6,0.99,B,0.020342465753424657,31.0
14,7,92,0.34187826024102974,0.8331194431880271,78,3,0.95,C,0.009134615384615383,53.0
15,2,88,0.34592319680203387,0.8137656720464731,84,6,0.98,A,0.017499999999999998,26.0
16,1,86,0.39119709950207626,0.8677193156583618,76,6,0.98,B,0.019342105263157893,24.0
17,5,89,0.27067914139683436,0.8003124329017568,74,5,0.99,C,0.016722972972972972,31.0
18,9,92,0.3666740354690405,0.834762690013549,90,5,0.95,A,0.013194444444444444,35.0
19,9,88,0.27240605030342724,0.8497468320693621,81,5,0.98,B,0.015123456790123458,38.0
20,6,95,0.2689912580479371,0.9,75,5,0.97,C,0.016166666666666666,39.0
21,2,89,0.364536867628359,0.8912123103105223,89,5,0.95,A,0.013342696629213483,39.0
22,9,91,0.359907002489812,0.8183572923531812,88,6,0.99,B,0.016874999999999998,27.0
23,6,95,0.32449567530236767,0.8611843258826547,74,3,0.98,C,0.009932432432432432,54.0
24,3,94,0.2992289923523309,0.811996122381374,78,4,0.95,A,0.01217948717948718,42.0
25,6,93,0.3585239290385308,0.8586776114152768,78,4,0.96,B,0.012307692307692308,40.0
26,7,94,0.303106757381514,0.817540675692741,82,3,0.96,C,0.008780487804878048,58.0
27,6,92,0.29343350536976126,0.8494049850660798,72,5,0.97,A,0.016840277777777777,33.0
28,3,90,0.31427733043871986,0.8337747815441064,94,4,0.96,B,0.010212765957446808,50.0
29,1,90,0.38746939222921617,0.8942868750503182,74,6,0.97,C,0.019662162162162163,25.0
30,9,90,0.3395923561895817,0.8231384579432102,76,4,0.96,A,0.01263157894736842,38.0
31,6,95,0.3557808594188768,0.8485955845772327,92,5,0.99,B,0.01345108695652174,36.0
32,2,93,0.3452993037126141,0.8623509042583978,91,3,0.95,C,0.007829670329670328,66.0
33,7,89,0.4,0.8146650175450799,94,5,0.98,A,0.013031914893617023,31.0
34,2,91,0.38606640912033563,0.834911765598571,78,3,0.95,B,0.009134615384615383,49.0
35,8,89,0.29943047879953066,0.8769034905908764,74,3,0.96,C,0.00972972972972973,59.0
36,7,90,0.31481666342785297,0.8344119104975506,81,4,0.98,A,0.012098765432098766,42.0
37,3,93,0.27667286724162216,0.8292513239905451,76,6,0.97,B,0.019144736842105263,28.0
38,7,89,0.36295031916971454,0.8418101831399449,88,6,0.98,C,0.016704545454545455,28.0
39,7,90,0.32125911447060407,0.8140279684437963,95,4,0.96,A,0.010105263157894737,48.0
40,7,88,0.255262277900958,0.8096063685536093,70,6,0.96,B,0.02057142857142857,26.0
41,4,86,0.34944121760465763,0.8151505030890484,91,6,0.99,C,0.01631868131868132,28.0
