v,ta,td,sa,sd,E,P,¦Ç,¦µ,¦¤,k
v1,27,72,0.258549261,0.879634043,49,4,0.96,A,0.019591837,31
v2,28,69,0.148059774,0.965750816,34,4,0.99,B,0.029117647,28
v3,4,94,0.283185072,0.91786503,31,3,0.94,C,0.022741935,27
v4,15,71,0.032787042,0.852409496,45,5,0.91,A,0.025277778,32
v5,0,73,0.221779413,0.966201543,40,3,1,B,0.01875,39
v6,29,71,0.057781836,0.994041618,45,5,0.99,C,0.0275,34
v7,29,89,0.064653701,0.972118309,39,5,0.95,A,0.030448718,29
v8,8,89,0.133146081,0.905960497,51,4,0.95,B,0.018627451,41
v9,30,75,0.224980384,0.93279775,35,3,0.98,C,0.021,33
v10,23,87,0.063815051,0.854813678,54,4,0.95,A,0.017592593,44
