v,ta,td,sa,sd,E,P,¦Ç,¦µ,¦¤,k
0,1,95,0.2857457811469331,0.8270365871789427,79,5,0.97,A,0.015348101265822783,35.0
1,9,91,0.3586944956682869,0.8895282135023888,74,3,0.99,B,0.010033783783783784,52.0
2,2,86,0.31170064774480966,0.8128924300401756,89,6,0.98,B,0.016516853932584268,30.0
3,8,86,0.32697067174453776,0.8169205816428783,78,5,0.95,A,0.015224358974358974,32.0
4,2,86,0.3891788346028746,0.8256317450529597,94,4,0.97,C,0.010319148936170213,42.0
5,5,95,0.27050896641525607,0.8905635547415991,91,3,0.97,C,0.007994505494505495,77.0
6,9,86,0.27784615961340775,0.8424755300330814,90,4,0.99,B,0.011,51.0
7,3,89,0.3899170296867533,0.870410894720376,83,6,0.99,C,0.01789156626506024,26.0
8,3,92,0.31544794061813,0.831426946154429,79,3,0.95,A,0.009018987341772151,57.0
9,3,87,0.25856268385809306,0.8427698339482612,87,4,0.96,B,0.011034482758620689,52.0
10,9,90,0.2805095399366987,0.8355256977826612,90,3,0.98,B,0.008166666666666666,67.0
11,4,93,0.391545412564417,0.8309143804471193,95,6,0.98,C,0.015473684210526315,28.0
12,6,87,0.3074079007833556,0.8375647069449523,85,6,0.97,C,0.01711764705882353,30.0
13,5,91,0.2870416055816193,0.9,87,4,0.97,B,0.011149425287356322,54.0
14,8,91,0.2694437924928311,0.8565668446969531,73,4,0.95,C,0.013013698630136985,45.0
15,3,92,0.3462368462099453,0.8114477234962278,94,3,0.99,A,0.007898936170212765,58.0
16,9,91,0.27072846969460695,0.8303163275016713,79,4,0.97,A,0.012278481012658228,45.0
17,1,86,0.2584224448303708,0.8531227426947073,91,5,0.95,B,0.01304945054945055,45.0
18,4,91,0.3948899039118805,0.8065592578922827,84,3,0.96,C,0.008571428571428572,48.0
19,5,91,0.2915982590626532,0.881734450647094,72,3,0.96,C,0.01,59.0
20,1,89,0.3459335778518626,0.8308396522181953,81,4,0.99,A,0.012222222222222223,39.0
21,4,86,0.3468036288916152,0.811626897376406,81,3,0.95,B,0.008796296296296295,52.0
22,4,93,0.3056299364058459,0.8042182811241326,88,5,0.99,A,0.0140625,35.0
23,4,93,0.3919727961441587,0.8616747594081196,71,6,0.98,A,0.020704225352112676,22.0
24,4,89,0.37307180230476567,0.858387056464168,89,5,0.96,A,0.01348314606741573,35.0
25,1,90,0.3442019699396163,0.8631424021418418,78,6,0.96,B,0.01846153846153846,28.0
26,7,86,0.26297944891052905,0.8813923148491236,87,4,0.95,A,0.010919540229885057,56.0
27,1,90,0.27834141713797733,0.8726810450936328,76,4,0.97,A,0.012763157894736843,46.0
28,9,93,0.31188376276504154,0.8682135149412559,92,5,0.95,A,0.012907608695652174,43.0
29,5,90,0.31647321480882373,0.8131715365790297,92,3,0.96,C,0.007826086956521738,63.0
30,2,88,0.3353234639801934,0.8318703624261321,73,6,0.96,A,0.019726027397260273,25.0
31,4,93,0.32411050323590085,0.8290708541581058,74,6,0.96,A,0.01945945945945946,25.0
32,2,93,0.3761196657432457,0.8719713899487962,75,5,0.95,C,0.015833333333333335,31.0
33,7,89,0.27103781241502617,0.8995273879243608,71,5,0.97,A,0.017077464788732392,36.0
34,4,94,0.37342064683223647,0.8189650237171748,72,6,0.99,C,0.020624999999999998,21.0
35,8,94,0.31655685520356064,0.819468178848765,71,6,0.95,B,0.020070422535211265,25.0
36,2,92,0.3613091638994782,0.8217821915267421,85,6,0.96,A,0.016941176470588234,27.0
37,5,94,0.3276730788009872,0.8982991556144952,92,6,0.96,A,0.015652173913043476,36.0
38,5,88,0.39402732964277554,0.8838488554390784,89,5,0.96,B,0.01348314606741573,36.0
39,9,89,0.3581617475436651,0.8173233662961205,80,6,0.97,B,0.018187500000000002,25.0
40,7,86,0.3080620728341819,0.8828991086917358,82,4,0.97,A,0.011829268292682927,48.0
41,5,93,0.37498141352849906,0.8448334913685899,90,3,0.96,B,0.008,58.0
42,6,86,0.38425840732308747,0.8504436285908484,88,3,0.95,B,0.008096590909090907,57.0
43,6,89,0.3818251702927733,0.8800032057663068,70,5,0.97,C,0.01732142857142857,28.0
44,8,87,0.29647698615678536,0.8887763217767535,79,4,0.97,A,0.012278481012658228,48.0
45,8,86,0.2566085020961495,0.8220851993301358,77,4,0.99,A,0.012857142857142857,43.0
46,4,87,0.3484358445783668,0.8796953690874639,87,3,0.96,C,0.008275862068965517,64.0
47,7,90,0.25,0.8048201941085709,84,6,0.97,A,0.01732142857142857,32.0
48,3,88,0.33088900557466483,0.834262488855118,95,6,0.99,B,0.01563157894736842,32.0
49,8,87,0.39831174288428717,0.8,88,6,0.98,B,0.016704545454545455,24.0
50,1,89,0.3719898669147364,0.8863426349334362,81,5,0.96,B,0.014814814814814814,34.0
51,5,88,0.25219004224611885,0.8116510795029805,84,4,0.96,A,0.011428571428571429,48.0
52,7,90,0.3463007486685355,0.8149481167428294,74,3,0.95,C,0.009628378378378377,48.0
53,6,87,0.3688602032847791,0.8783163951375816,73,3,0.97,A,0.009965753424657534,51.0
54,7,87,0.2647028268338583,0.8492701557169412,90,4,0.95,B,0.010555555555555556,55.0
55,5,91,0.31310941469259085,0.892920233524056,75,6,0.96,C,0.0192,30.0
56,4,86,0.3121140209529309,0.8143440884327011,90,3,0.98,A,0.008166666666666666,61.0
57,3,89,0.260604223541497,0.8805752363315261,90,6,0.99,A,0.016499999999999997,37.0
58,5,88,0.37893519623096006,0.864678309641346,80,3,0.97,B,0.009093750000000001,53.0
59,6,89,0.28592060613805587,0.8626101644052789,95,3,0.96,A,0.007578947368421052,76.0
60,1,87,0.37503872867282784,0.8615381283946636,86,5,0.98,C,0.014244186046511629,34.0
61,4,88,0.29039606206564683,0.8245931690389099,77,6,0.99,C,0.019285714285714285,27.0
62,3,95,0.3003159440403873,0.8173362364026148,78,4,0.98,C,0.012564102564102564,41.0
63,1,95,0.38046294672656933,0.8106129149012362,93,3,0.96,A,0.007741935483870968,55.0
64,4,86,0.34690085180150704,0.8430889570781293,89,5,0.98,C,0.013764044943820226,36.0
65,5,95,0.25139015368194956,0.8108180667121866,87,5,0.96,C,0.013793103448275862,40.0
66,2,93,0.3220390077508196,0.8890797064727377,93,4,0.96,C,0.01032258064516129,54.0
67,9,94,0.28539935738504696,0.862928213393567,80,3,0.97,B,0.009093750000000001,63.0
68,5,95,0.3685836158891181,0.8758586981428218,89,5,0.96,B,0.01348314606741573,37.0
69,5,89,0.35179245032757706,0.8190355648092424,87,6,0.99,C,0.017068965517241377,27.0
70,9,93,0.36168038085846116,0.834448743984132,85,5,0.95,B,0.013970588235294118,33.0
71,5,90,0.30202805385311543,0.8522478297233137,95,5,0.98,C,0.012894736842105264,42.0
72,4,92,0.3476956935257564,0.8275495999378438,75,3,0.97,C,0.0097,49.0
73,9,93,0.3373321445836958,0.8392986972475115,83,5,0.96,C,0.014457831325301203,34.0
74,3,93,0.37314094492233074,0.8811876834311159,78,6,0.96,A,0.01846153846153846,27.0
75,3,88,0.3327960200613986,0.8260314079585993,82,5,0.97,B,0.014786585365853658,33.0
76,7,88,0.33474181345083137,0.8301892832842663,82,3,0.96,C,0.008780487804878048,56.0
77,3,92,0.35552139246513154,0.8764783544444769,70,4,0.97,B,0.013857142857142856,37.0
78,1,93,0.27406072715301677,0.8087342981233506,70,3,0.96,B,0.010285714285714285,51.0
79,4,89,0.29703016408925137,0.8083219353005031,76,4,0.97,B,0.012763157894736843,40.0
80,2,91,0.31662098434995606,0.8043093356126325,77,3,0.99,A,0.009642857142857142,50.0
81,7,91,0.2610885181106478,0.8253427188910641,89,4,0.99,B,0.011123595505617978,50.0
82,9,95,0.39595448870872746,0.8336177580464345,72,5,0.99,C,0.0171875,25.0
83,1,86,0.27380014278494724,0.8434068496786683,72,6,0.95,A,0.019791666666666666,28.0
84,5,90,0.3374193361120315,0.8382498515433838,87,3,0.95,B,0.008189655172413792,61.0
85,7,87,0.2886209051163984,0.8702130131916792,89,3,0.98,A,0.008258426966292134,70.0
86,9,92,0.26512299096514563,0.8653927640598356,78,6,0.96,A,0.01846153846153846,32.0
87,9,90,0.36542212985475137,0.8103030458625706,76,3,0.99,C,0.009769736842105262,45.0
88,3,89,0.2561153000804953,0.8776522129022918,88,3,0.95,C,0.008096590909090907,76.0
89,2,88,0.3563202454580091,0.8019124592824932,80,5,0.99,B,0.01546875,28.0
90,5,95,0.28326158365672766,0.8710310775514093,82,6,0.98,B,0.01792682926829268,32.0
91,5,88,0.2752681948271527,0.8343397440217594,70,5,0.99,C,0.01767857142857143,31.0
92,9,92,0.3244939384911044,0.8096561997265926,77,5,0.96,C,0.015584415584415584,31.0
93,5,86,0.26367263838036786,0.8333567386945642,78,3,0.99,A,0.009519230769230768,59.0
94,3,89,0.27914612505414127,0.8084416061001082,72,5,0.95,C,0.016493055555555556,32.0
95,2,93,0.39204982971064006,0.8834090198693416,80,4,0.96,A,0.012,40.0
96,5,87,0.39362238110097425,0.8112563222817674,73,5,0.99,A,0.016952054794520548,24.0
97,7,94,0.30855195591496903,0.8674630452578066,83,4,0.98,B,0.011807228915662651,47.0
98,7,94,0.2508499262953623,0.8916937034302137,92,4,0.99,A,0.010760869565217391,59.0
99,1,86,0.29837277146965646,0.8108425846535249,71,6,0.99,B,0.020915492957746477,24.0
100,1,88,0.3930062357631503,0.8323696867181094,95,6,0.95,A,0.014999999999999998,29.0
101,6,89,0.26899835108357023,0.8574787696326659,80,4,0.95,C,0.011875,49.0
102,8,91,0.2947053343166741,0.8068873533562598,77,6,0.99,B,0.019285714285714285,26.0
103,1,88,0.39910500332926674,0.8299129658504424,74,6,0.95,A,0.019256756756756754,22.0
104,7,88,0.29474535899422455,0.8018657014969216,78,4,0.97,C,0.012435897435897436,40.0
105,6,86,0.30791454559551007,0.8616605139039684,70,4,0.95,C,0.013571428571428571,40.0
106,1,87,0.2829737247102206,0.8498827117900695,72,3,0.98,B,0.010208333333333333,55.0
107,6,90,0.35913935679289133,0.8728503305580432,94,6,0.97,A,0.01547872340425532,33.0
